id,name,cultural_enrichment,approximate_cost,location,season,activity_type,population_density,terrain_type,camping_available,network_availability,description
11,Алтайские горы,1,60000.00,Алтайский край,summer,"Экотуризм, Пешие походы, Конные прогулки",8,"Горы, Долины, Реки",1,50,"Алтайские горы - это живописный горный регион, известный своими живописными пейзажами, чистыми озерами и реками. Здесь вы сможете совершить увлекательные походы, полюбоваться альпийскими лугами и познакомиться с культурой коренных народов Алтая."
12,Соловецкие острова,1,40000.00,Архангельская область,summer,"Культурный, Экскурсии, Религиозный туризм",15,"Острова, Побережье",0,70,"Соловецкие острова - это уникальный архипелаг в Белом море, известный своим Соловецким монастырем и другими историческими и культурными достопримечательностями. Здесь вы сможете познакомиться с историей русского Севера, полюбоваться живописными пейзажами и отдохнуть от городской суеты."
13,Карельский перешеек,1,35000.00,Ленинградская область,summer,"Экотуризм, Пешие прогулки, Рыбалка",25,"Озера, Леса, Холмы",1,80,"Карельский перешеек - это живописный регион, расположенный между Финским заливом и Ладожским озером. Здесь вы сможете насладиться нетронутой природой, полюбоваться живописными пейзажами, порыбачить в чистых озерах и познакомиться с культурой Карелии."
14,Архыз (Северный Кавказ),1,55000.00,Карачаево-Черкесская Республика,summer,"Горнолыжный, Пешие походы, Экотуризм",10,"Горы, Долины, Реки",1,60,"Архыз - это живописный горный курорт на Северном Кавказе, известный своими живописными пейзажами, горными реками и озерами. Здесь вы сможете заниматься горнолыжным спортом, совершать пешие походы, наблюдать за дикой природой и знакомиться с культурой местных народов."
15,Остров Валаам,1,45000.00,Республика Карелия,summer,"Религиозный туризм, Экскурсии, Отдых на природе",20,"Остров, Побережье, Леса",0,70,"Остров Валаам - это уникальный остров в Ладожском озере, известный своим древним Валаамским монастырем и живописными природными ландшафтами. Здесь вы сможете погрузиться в атмосферу духовности, посетить монастырские храмы и насладиться красотой северной природы."
16,Ленские столбы (Якутия),1,80000.00,Республика Саха (Якутия),summer,"Экотуризм, Пешие походы, Наблюдение за природой",0,"Скалы, Реки, Тайга",1,40,"Ленские столбы - это уникальный природный памятник, расположенный на берегах реки Лены в Якутии. Эти величественные скальные образования, возраст которых достигает 350 миллионов лет, привлекают туристов со всего мира. Здесь вы сможете совершить захватывающие походы, полюбоваться живописными пейзажами и познакомиться с культурой коренных народов Якутии."
17,Плато Маньпупунёр (Урал),1,75000.00,Республика Коми,summer,"Экотуризм, Пешие походы, Наблюдение за природой",1,"Горы, Скалы, Тундра",1,30,"Плато Маньпупунёр - это уникальный природный памятник, расположенный на Северном Урале. Здесь вы сможете увидеть величественные каменные столбы, известные как ""Семь Святых"", а также насладиться нетронутой природой тундры и познакомиться с культурой коренных народов Севера."
18,Куршская коса (Калининградская область),1,40000.00,Калининградская область,summer,"Экотуризм, Пешие прогулки, Отдых на пляже",25,"Побережье, Дюны, Леса",1,80,"Куршская коса - это уникальный природный объект, расположенный на побережье Балтийского моря. Здесь вы сможете насладиться живописными пейзажами, прогуляться по песчаным дюнам, полюбоваться птицами и познакомиться с культурой Калининградского региона."
19,Остров Сахалин,1,90000.00,Сахалинская область,summer,"Экотуризм, Наблюдение за дикой природой, Рыбалка",6,"Остров, Побережье, Горы",1,60,"Остров Сахалин - это уникальный регион, расположенный на Дальнем Востоке России. Здесь вы сможете насладиться нетронутой природой, понаблюдать за морскими млекопитающими, заняться рыбалкой и познакомиться с культурой коренных народов Сахалина."
20,Териберка (Мурманская область),1,60000.00,Мурманская область,summer,"Экотуризм, Наблюдение за природой, Рыбалка",10,"Побережье, Скалы, Тундра",1,40,"Териберка - это небольшое поселение на Баренцевом море, известное своими живописными пейзажами, уникальной природой и культурой Русского Севера. Здесь вы сможете полюбоваться северными пейзажами, понаблюдать за морскими птицами и млекопитающими, а также попробовать местную рыбу и морепродукты."
21,"Национальный парк ""Русская Арктика"" (Архангельская область)",1,90000.00,Архангельская область,summer,"Экотуризм, Наблюдение за дикой природой",0,"Острова, Ледники, Тундра",1,20,"Национальный парк ""Русская Арктика"" - это уникальная охраняемая территория, расположенная на архипелаге Земля Франца-Иосифа. Здесь вы сможете увидеть величественные ледники, полюбоваться арктической флорой и фауной, а также познакомиться с историей освоения Арктики."
22,Долина Лефкадия (Краснодарский край),1,45000.00,Краснодарский край,summer,"Винный туризм, Гастрономический туризм, Отдых на природе",20,"Холмы, Виноградники, Побережье",1,70,"Долина Лефкадия - это живописный регион на Черноморском побережье Краснодарского края, известный своими винодельческими хозяйствами и гастрономическими достопримечательностями. Здесь вы сможете продегустировать местные вина, познакомиться с традиционной кухней и насладиться живописными пейзажами."
23,Кавказский заповедник,1,60000.00,Краснодарский край,summer,"Экотуризм, Пешие походы, Наблюдение за дикой природой",2,"Горы, Леса, Реки",1,50,"Кавказский заповедник - это уникальная природная территория, расположенная на Западном Кавказе. Здесь вы сможете насладиться нетронутыми горными ландшафтами, увидеть редких животных и птиц, а также познакомиться с культурой народов Кавказа."
24,Озеро Селигер,1,35000.00,Тверская область,summer,"Отдых на природе, Рыбалка, Водные виды спорта",20,"Озеро, Леса, Холмы",1,70,"Озеро Селигер - это живописный водоем, расположенный в Тверской области. Здесь вы сможете отдохнуть на берегу, заняться рыбалкой, покататься на лодках и катамаранах, а также познакомиться с историей и культурой этого региона."
25,Ергаки,1,70000.00,Красноярский край,summer,"Экотуризм, Пешие походы, Альпинизм",1,"Горы, Озера, Реки",1,40,"Ергаки - это живописный горный массив, расположенный в Западном Саяне. Здесь вы сможете совершить захватывающие походы, полюбоваться горными озерами и ледниками, а также попробовать себя в альпинизме и других активных видах отдыха."
26,Териберка,1,60000.00,Мурманская область,summer,"Экотуризм, Наблюдение за природой, Рыбалка",10,"Побережье, Скалы, Тундра",1,40,"Териберка - это небольшое поселение на Баренцевом море, известное своими живописными пейзажами, уникальной природой и культурой Русского Севера. Здесь вы сможете полюбоваться северными пейзажами, понаблюдать за морскими птицами и млекопитающими, а также попробовать местную рыбу и морепродукты."
27,Остров Врангеля,1,70000.00,Чукотский автономный округ,summer,"Экотуризм, Наблюдение за дикой природой",0,"Остров, Тундра, Побережье",1,10,"Остров Врангеля - это уникальный природный заповедник, расположенный в Восточно-Сибирском море. Здесь вы сможете увидеть белых медведей, моржей, редких птиц и другую арктическую фауну, а также познакомиться с культурой коренных народов Чукотки."
28,Республика Тыва,1,80000.00,Республика Тыва,summer,"Экотуризм, Этнический туризм, Активный отдых",2,"Горы, Степи, Реки",1,50,"Республика Тыва - это уникальный регион, расположенный в Южной Сибири. Здесь вы сможете познакомиться с культурой и традициями тувинского народа, совершить увлекательные походы по горным ландшафтам, сплавиться по горным рекам и насладиться нетронутой природой."
29,Республика Калмыкия,1,60000.00,Республика Калмыкия,summer,"Этнический туризм, Экотуризм, Активный отдых",3,"Степи, Озера, Холмы",1,60,"Республика Калмыкия - это уникальный регион, известный своей буддийской культурой, живописными степными ландшафтами и богатой флорой и фауной. Здесь вы сможете познакомиться с традициями калмыцкого народа, совершить пешие или конные прогулки по бескрайним просторам и насладиться спокойствием природы."
30,"Национальный парк ""Смоленское Поозерье""",1,35000.00,Смоленская область,summer,"Экотуризм, Пешие прогулки, Рыбалка",10,"Озера, Леса, Холмы",1,50,"Национальный парк ""Смоленское Поозерье"" - это живописный регион, расположенный на западе России. Здесь вы сможете насладиться чистыми озерами, совершить увлекательные походы по лесным тропам, заняться рыбалкой и познакомиться с историей и культурой Смоленской области."
31,"Национальный парк ""Зюраткуль""",1,45000.00,Челябинская область,summer,"Экотуризм, Пешие походы, Рыбалка",8,"Горы, Озера, Леса",1,60,"Национальный парк ""Зюраткуль"" - это живописный природный заповедник, расположенный на Южном Урале. Здесь вы сможете насладиться красотой горных ландшафтов, совершить увлекательные походы, порыбачить в чистых озерах и познакомиться с культурой местных жителей."
32,Республика Карелия,1,45000.00,Республика Карелия,summer,"Экотуризм, Культурный",8,"Озера, Леса, Холмы",1,60,"Республика Карелия - это регион, известный своими живописными озерами, лесами и богатым культурным наследием. Здесь вы сможете совершить увлекательные походы, познакомиться с карельской культурой и традициями, а также отдохнуть в живописных природных уголках."
33,Алтайский край,1,55000.00,Алтайский край,summer,"Экотуризм, Активный отдых",12,"Горы, Долины, Реки",1,60,"Алтайский край - это регион, известный своими живописными горными ландшафтами, чистыми реками и озерами. Здесь вы сможете совершить увлекательные походы, заняться рафтингом, конными прогулками и другими активными видами отдыха, а также познакомиться с культурой коренных народов Алтая."
34,Республика Дагестан,1,60000.00,Республика Дагестан,summer,"Этнический туризм, Экотуризм",50,"Горы, Побережье, Равнины",1,50,"Республика Дагестан - это уникальный регион, известный своим культурным разнообразием, живописными горными ландшафтами и побережьем Каспийского моря. Здесь вы сможете познакомиться с традициями и обычаями народов Дагестана, совершить увлекательные походы по горам и отдохнуть на побережье."
35,Псковская область,1,35000.00,Псковская область,summer,"Культурный, Экскурсии",12,"Равнинная, Озера",1,60,"Псковская область - это регион, богатый историческими и культурными достопримечательностями. Здесь вы сможете посетить древние крепости, монастыри и музеи, познакомиться с народными ремеслами и традициями, а также насладиться живописными озерными пейзажами."
36,Соловецкие острова,1,40000.00,Архангельская область,summer,"Культурный, Экскурсии, Религиозный туризм",15,"Острова, Побережье",0,70,"Соловецкие острова - это уникальный архипелаг в Белом море, известный своим Соловецким монастырем и другими историческими и культурными достопримечательностями. Здесь вы сможете познакомиться с историей русского Севера, полюбоваться живописными пейзажами и отдохнуть от городской суеты."
37,Великий Устюг,1,30000.00,Вологодская область,winter,"Культурный, Семейный",25,Равнинная,0,70,"Великий Устюг - это город, известный как родина Деда Мороза. Здесь вы сможете погрузиться в атмосферу русских зимних сказок, посетить резиденцию Деда Мороза, познакомиться с народными ремеслами и традициями Русского Севера."
38,Углич,1,18000.00,Ярославская область,summer,"Культурный, Экскурсии, Религиозный туризм",350,Равнинная,0,70,"Углич - это небольшой город, расположенный на Волге, известный своей богатой историей и культурным наследием. Здесь вы сможете посетить Угличский Кремль, Спасо-Преображенский собор, а также познакомиться с народными ремеслами и традициями Русского Севера."
39,Тобольск,1,25000.00,Тюменская область,summer,"Культурный, Экскурсии, Религиозный туризм",400,Равнинная,0,70,"Тобольск - это один из старейших городов Сибири, известный своим Кремлем, Софийско-Успенским собором и другими историческими достопримечательностями. Здесь вы сможете погрузиться в атмосферу сибирской истории, познакомиться с традициями и культурой местных жителей."
40,Старая Русса,1,22000.00,Новгородская область,summer,"Культурный, Экскурсии, Оздоровительный",350,"Равнинная, Берег реки",0,65,"Старая Русса - это небольшой город, расположенный на берегу реки Полисть, известный своими минеральными источниками и историческими достопримечательностями. Здесь вы сможете посетить музеи, познакомиться с традициями русской провинции и воспользоваться оздоровительными услугами местных курортов."
41,Тихвин,1,20000.00,Ленинградская область,summer,"Культурный, Экскурсии, Религиозный туризм",400,Равнинная,0,70,"Тихвин - это небольшой город, расположенный на реке Тихвинка, известный своим Тихвинским Успенским монастырем и другими историческими и культурными достопримечательностями. Здесь вы сможете познакомиться с русской православной культурой, посетить музеи и насладиться спокойной атмосферой провинциального города."
42,Великий Новгород,1,25000.00,Новгородская область,summer,"Культурный, Экскурсии, Религиозный туризм",450,Равнинная,0,75,"Великий Новгород - один из древнейших городов России, известный своим Кремлем, Софийским собором и другими историческими памятниками. Здесь вы сможете погрузиться в атмосферу средневековой Руси, посетить музеи и познакомиться с богатым культурным наследием этого региона."
43,Ростов Великий,1,22000.00,Ярославская область,summer,"Культурный, Экскурсии, Религиозный туризм",350,Равнинная,0,70,"Ростов Великий - один из древнейших городов Золотого кольца России, известный своим Кремлем, Успенским собором и другими историческими достопримечательностями. Здесь вы сможете погрузиться в атмосферу средневековой Руси, посетить музеи и познакомиться с традициями русской православной культуры."
44,Кириллов,1,20000.00,Вологодская область,summer,"Культурный, Экскурсии, Религиозный туризм",300,Равнинная,0,65,"Кириллов - это небольшой город, расположенный на берегу Сиверского озера, известный своим Кирилло-Белозерским монастырем и другими историческими достопримечательностями. Здесь вы сможете познакомиться с русской православной культурой, посетить музеи и насладиться спокойной атмосферой провинциального города."
45,Домбай,1,60000.00,Карачаево-Черкесская Республика,summer,"Горнолыжный, Пешие походы, Экотуризм",8,"Горы, Долины, Реки",1,55,"Домбай - это популярный горнолыжный курорт на Северном Кавказе, расположенный в живописных горных ландшафтах. Здесь вы сможете насладиться катанием на горных лыжах и сноубордах, совершить увлекательные походы по горным тропам, а также познакомиться с культурой и традициями местных народов."
46,Горный Алтай,1,70000.00,Республика Алтай,summer,"Экотуризм, Пешие походы, Конные прогулки",3,"Горы, Долины, Реки",1,50,"Горный Алтай - это уникальный регион, известный своими живописными горными пейзажами, чистыми озерами и реками. Здесь вы сможете совершить захватывающие походы, полюбоваться альпийскими лугами, познакомиться с культурой коренных народов и отдохнуть от городской суеты."
47,Хибины,1,60000.00,Мурманская область,summer,"Экотуризм, Пешие походы, Горнолыжный",5,"Горы, Тундра, Озера",1,45,"Хибины - это горный массив на Кольском полуострове, известный своими живописными ландшафтами, богатой флорой и фауной. Здесь вы сможете совершить увлекательные походы, заняться горнолыжным спортом, а также познакомиться с культурой и традициями Русского Севера."
48,Плато Укок,1,85000.00,Республика Алтай,summer,"Экотуризм, Пешие походы, Наблюдение за природой",0,"Горы, Плато, Тундра",1,30,"Плато Укок - это уникальная природная территория, расположенная на границе России, Монголии, Китая и Казахстана. Здесь вы сможете совершить захватывающие походы по нетронутым горным ландшафтам, полюбоваться древними археологическими памятниками и познакомиться с культурой коренных народов Алтая."
49,Соловецкие острова,1,40000.00,Архангельская область,summer,"Культурный, Экскурсии, Религиозный туризм",15,"Острова, Побережье",0,70,"Соловецкие острова - это уникальный архипелаг в Белом море, известный своим Соловецким монастырем и другими историческими и культурными достопримечательностями. Здесь вы сможете познакомиться с историей русского Севера, полюбоваться живописными пейзажами и отдохнуть от городской суеты."
50,Командорские острова,1,120000.00,Камчатский край,summer,"Экотуризм, Наблюдение за дикой природой",0,"Острова, Побережье, Тундра",1,30,"Командорские острова - это уникальный архипелаг, расположенный в Беринговом море. Здесь вы сможете увидеть множество морских млекопитающих, таких как котики и морские львы, а также познакомиться с культурой коренных народов Камчатки."
51,Астрахань,1,25000.00,Астраханская область,summer,"Культурный, Экскурсии, Рыбалка",300,"Равнинная, Побережье",0,70,"Астрахань - это город, расположенный на берегах Волги и Каспийского моря. Здесь вы сможете посетить исторические достопримечательности, познакомиться с культурой Поволжья, заняться рыбалкой и отдохнуть на живописных набережных."
52,Калининград,1,35000.00,Калининградская область,summer,"Культурный, Экскурсии, Пляжный отдых",550,"Побережье, Равнинная",0,85,"Калининград - это уникальный российский город, расположенный на побережье Балтийского моря. Здесь вы сможете познакомиться с немецкой и русской культурой, посетить исторические достопримечательности, отдохнуть на пляжах и насладиться живописными пейзажами."
53,Архангельск,1,28000.00,Архангельская область,summer,"Культурный, Экскурсии, Морской туризм",280,"Побережье, Равнинная",0,75,"Архангельск - это город, расположенный на берегу Северной Двины и Белого моря. Здесь вы сможете познакомиться с историей освоения Русского Севера, посетить музеи, связанные с морской тематикой, и насладиться живописными видами на побережье."
54,Ростов-на-Дону,1,30000.00,Ростовская область,summer,"Культурный, Экскурсии, Гастрономический",400,"Равнинная, Побережье",0,80,"Ростов-на-Дону - это крупный город, расположенный на берегах Дона. Здесь вы сможете познакомиться с богатой историей и культурой Юга России, посетить музеи и театры, попробовать традиционную кухню и насладиться прогулками по живописным набережным."
55,Волгоград,1,25000.00,Волгоградская область,summer,"Культурный, Экскурсии, Военно-исторический",300,"Равнинная, Побережье",0,75,"Волгоград - это город, расположенный на берегах Волги. Здесь вы сможете посетить памятники, связанные с Великой Отечественной войной, музеи, познакомиться с культурой Поволжья и насладиться прогулками по набережным."
56,Казань,1,25000.00,Республика Татарстан,summer,"Культурный, Экскурсии, Гастрономический",1700,Равнинная,0,80,"Казань - это столица Республики Татарстан, расположенная на берегах Волги и Казанки. Здесь вы сможете посетить Казанский Кремль, мечети, музеи и попробовать блюда национальной кухни. Казань предлагает увлекательное путешествие в мир многовековой истории и традиций."
57,Великий Устюг,1,30000.00,Вологодская область,winter,"Культурный, Семейный",25,Равнинная,0,70,"Великий Устюг - это город, известный как родина Деда Мороза, расположенный на берегах реки Сухоны. Здесь вы сможете погрузиться в атмосферу русских зимних сказок, посетить резиденцию Деда Мороза, познакомиться с народными ремеслами и традициями Русского Севера."
58,Гороховец,1,18000.00,Владимирская область,summer,"Культурный, Экскурсии, Архитектура",300,Равнинная,0,65,"Гороховец - это небольшой город, расположенный на берегу реки Клязьма, известный своей уникальной архитектурой в стиле русского деревянного зодчества и историческими памятниками. Здесь вы сможете познакомиться с традиционным русским зодчеством, посетить музеи и насладиться спокойной атмосферой провинциального города."
59,"Национальный парк ""Югыд ва""",1,60000.00,Республика Коми,summer,"Экотуризм, Пешие походы, Наблюдение за природой",1,"Горы, Леса, Реки",1,30,"Национальный парк ""Югыд ва"" - это уникальный природный объект, расположенный на севере Республики Коми. Здесь вы сможете насладиться нетронутыми горными ландшафтами, увидеть редких животных и птиц, а также познакомиться с культурой коренных народов Севера."
60,"Национальный парк ""Бикин""",1,80000.00,Приморский край,summer,"Экотуризм, Пешие походы, Наблюдение за дикой природой",1,"Леса, Реки, Горы",1,40,"Национальный парк ""Бикин"" - это уникальная природная территория, расположенная на Дальнем Востоке России. Здесь вы сможете насладиться нетронутыми лесными ландшафтами, понаблюдать за редкими видами животных, такими как амурский тигр, и познакомиться с культурой коренных народов Приморья."
61,Остров Врангеля,1,150000.00,Чукотский автономный округ,summer,"Экотуризм, Наблюдение за дикой природой",0,"Остров, Тундра, Побережье",1,10,"Остров Врангеля - это уникальный природный заповедник, расположенный в Восточно-Сибирском море. Здесь вы сможете увидеть белых медведей, моржей, редких птиц и другую арктическую фауну, а также познакомиться с культурой коренных народов Чукотки."
62,Плато Маньпупунёр,1,75000.00,Республика Коми,summer,"Экотуризм, Пешие походы, Наблюдение за природой",1,"Горы, Скалы, Тундра",1,30,"Плато Маньпупунёр - это уникальный природный памятник, расположенный на Северном Урале. Здесь вы сможете увидеть величественные каменные столбы, известные как ""Семь Святых"", а также насладиться нетронутой природой тундры и познакомиться с культурой коренных народов Севера."
63,Курильские острова,1,130000.00,Сахалинская область,summer,"Экотуризм, Наблюдение за дикой природой",0,"Острова, Побережье, Вулканы",1,25,"Курильские острова - это уникальный архипелаг, расположенный между Охотским морем и Тихим океаном. Здесь вы сможете увидеть действующие вулканы, насладиться нетронутой природой, понаблюдать за морскими млекопитающими и познакомиться с культурой коренных народов Курил."
64,"Национальный парк ""Шушенский бор""",1,40000.00,Красноярский край,summer,"Экотуризм, Пешие прогулки, Наблюдение за природой",5,"Леса, Холмы, Реки",1,60,"Национальный парк ""Шушенский бор"" - это живописный природный заповедник, расположенный в Красноярском крае. Здесь вы сможете насладиться нетронутыми лесными ландшафтами, понаблюдать за редкими видами птиц и животных, а также познакомиться с культурой местных жителей."
65,"Национальный парк ""Кенозерский""",1,40000.00,Архангельская область,summer,"Экотуризм, Пешие походы, Водные виды спорта",2,"Озера, Леса, Холмы",1,45,"Национальный парк ""Кенозерский"" - это живописный регион, расположенный на севере России. Здесь вы сможете насладиться чистыми озерами, совершить увлекательные походы по лесным тропам, заняться каноэ и другими водными видами спорта, а также познакомиться с культурой и традициями Русского Севера."
66,"Национальный парк ""Сайлюгемский""",1,75000.00,Республика Алтай,summer,"Экотуризм, Пешие походы, Наблюдение за природой",1,"Горы, Степи, Реки",1,35,"Национальный парк ""Сайлюгемский"" - это уникальная природная территория, расположенная на границе России и Монголии. Здесь вы сможете совершить захватывающие походы по нетронутым горным ландшафтам, понаблюдать за редкими видами животных и познакомиться с культурой коренных народов Алтая."
67,"Национальный парк ""Онежское Поморье""",1,35000.00,Архангельская область,summer,"Экотуризм, Пешие походы, Водные виды спорта",5,"Побережье, Острова, Леса",1,40,"Национальный парк ""Онежское Поморье"" - это живописный регион на побережье Белого моря, расположенный в Архангельской области. Здесь вы сможете насладиться чистыми водами, совершить увлекательные походы по островам и лесным массивам, заняться каякингом, рыбалкой и познакомиться с культурой поморов."
68,Столбы,0,12000.00,Красноярский край,summer,Активный,15,Скальная,1,70,"Покорите живописные скалы-останцы в национальном парке Столбы. Вас ждут захватывающие виды, пешие маршруты различной сложности и возможность познакомиться с уникальной флорой и фауной."
69,Сихотэ-Алинский заповедник,0,22000.00,Приморский край,summer,Экологический,3,Горно-таежная,1,30,"Откройте для себя мир амурского тигра, гималайского медведя и других редких животных. Совершите пешие прогулки по таежным тропам и насладитесь красотой горных пейзажей."
70,Оренбургский заповедник,0,11000.00,Оренбургская область,summer,Экологический,5,Степная,1,65,"Познакомьтесь с дикими лошадьми Пржевальского, сурками и другими обитателями степей. Совершите прогулки по бескрайним просторам и насладитесь тишиной и спокойствием."
71,Дальневосточный морской заповедник,0,25000.00,Приморский край,summer,Водный,5,Морская,1,60,"Исследуйте подводный мир Японского моря, где обитают морские звезды, кораллы и другие удивительные существа. Вас ждут дайвинг, снорклинг и прогулки на лодках."
72,Ильменский заповедник,0,13000.00,Челябинская область,summer,Экологический,20,Лесостепная,1,75,"Исследуйте уникальные минералы и горные породы, а также познакомьтесь с разнообразной флорой и фауной. Вас ждут прогулки по экологическим тропам и посещение музея."
73,Кузнецкий Алатау,0,15000.00,Кемеровская область,summer,Активный,7,Горная,1,60,"Исследуйте горные хребты Кузнецкого Алатау, где обитают маралы, соболи и другие таежные животные. Вас ждут пешие походы, рыбалка и возможность насладиться красотой дикой природы."
74,Прибайкальский национальный парк,0,18000.00,Иркутская область,summer,Активный,10,Горно-таежная,1,50,"Насладитесь красотой таежных лесов, горных вершин и берегов озера Байкал. Вас ждут пешие походы, водные прогулки и возможность увидеть редких животных и птиц."
75,"Национальный парк ""Лосиный остров""",0,7000.00,Москва и Московская область,summer,Экологический,60,Лесная,0,95,"Посетите один из крупнейших городских лесов в мире, где обитают лоси, кабаны и другие дикие животные. Вас ждут пешие и велосипедные прогулки, а также возможность отдохнуть на природе, не покидая город."
76,Гора Эльбрус,0,25000.00,Кабардино-Балкария,summer,Экстремальный,5,Горная,1,40,"Покорите высочайшую вершину России и Европы, насладитесь красотой горных пейзажей и ледников. Вас ждут восхождения, горные походы и возможность увидеть уникальную природу Кавказа."
77,Уральские горы,0,12000.00,Свердловская область,summer,Активный,15,Горная,1,65,"Исследуйте горные хребты Урала, где вас ждут пещеры, скалы и живописные озера. Вас ждут пешие походы, сплавы по рекам и возможность познакомиться с историей региона."
78,Гора Белуха,0,28000.00,Республика Алтай,summer,Экстремальный,1,Горная,1,20,"Покорите одну из высочайших вершин Алтая, насладитесь красотой горных ледников и озер. Вас ждут сложные восхождения, горные походы и возможность увидеть уникальную природу."
79,Горы Кольского полуострова,0,18000.00,Мурманская область,summer,Активный,8,Горная,1,55,"Исследуйте горные массивы Кольского полуострова, где вас ждут озера, реки и возможность увидеть северное сияние. Вас ждут пешие походы, рыбалка и другие активные виды отдыха."
80,Горы Хамар-Дабан,0,17000.00,Бурятия,summer,Активный,5,Горная,1,45,"Покорите вершины хребта Хамар-Дабан, насладитесь красотой горных озер и водопадов. Вас ждут пешие маршруты различной сложности и возможность увидеть уникальную флору и фауну."
81,Сочи,1,18000.00,Южный федеральный округ,summer,Пляжный,70,Прибрежная,1,90,"Насладитесь отдыхом на Черноморском побережье, где вас ждут пляжи, горы и возможность отдохнуть на курортах. Вас ждут прогулки по набережной, посещение парков и возможность заняться водными видами спорта."
82,Петрозаводск,1,13000.00,Северо-Западный федеральный округ,summer,Культурный,30,Озерная,1,75,"Посетите столицу Карелии, расположенную на берегу Онежского озера. Вас ждут музеи, набережные и возможность познакомиться с культурой и историей региона."
83,Ладожское озеро,0,14000.00,Ленинградская область,summer,Активный,15,Озерная,1,70,"Исследуйте крупнейшее озеро Европы, где вас ждут живописные острова, скалистые берега и возможность увидеть редких птиц. Вас ждут пешие походы, катание на лодках и рыбалка."
84,Белое море,0,20000.00,Архангельская область,summer,Морской,10,Морская,1,50,"Откройте для себя суровую красоту Белого моря, где вас ждут морские прогулки, рыбалка и возможность увидеть белух и других морских животных."
